State,District,Year,Area (Hectare),Production (Tonnes),Yield (Kg/Ha),Crop,Season,ndvi_mean,ndvi_max,ndvi_std,ndvi_reading_count
1. Karnataka,GULBARGA,2019,606717.0,523354.0,0.86,Arhar,Kharif,0.6425,0.6425,,1.0
1. Karnataka,GULBARGA,2020,581825.0,622553.0,1.07,Arhar,Kharif,0.5646666666666667,0.7275,0.22951810967038455,6.0
1. Karnataka,HASSAN,2010,2518.0,1545.0,0.61,Arhar,Kharif,,,,
1. Karnataka,HASSAN,2011,2568.0,1600.0,0.62,Arhar,Kharif,,,,
1. Karnataka,HASSAN,2012,1831.0,612.0,0.33,Arhar,Kharif,,,,
1. Karnataka,HASSAN,2013,2015.0,869.0,0.43,Arhar,Kharif,,,,
1. Karnataka,HASSAN,2014,2359.0,3433.0,1.46,Arhar,Kharif,,,,
1. Karnataka,HASSAN,2015,1915.0,990.0,0.52,Arhar,Kharif,,,,
1. Karnataka,HASSAN,2016,1770.0,925.0,0.52,Arhar,Kharif,,,,
1. Karnataka,HASSAN,2017,1622.0,1273.0,0.78,Arhar,Kharif,,,,
1. Karnataka,HASSAN,2018,1138.0,231.0,0.2,Arhar,Kharif,,,,
1. Karnataka,HASSAN,2019,880.0,362.0,0.41,Arhar,Kharif,,,,
1. Karnataka,HASSAN,2020,730.0,316.0,0.43,Arhar,Kharif,0.3278,0.6333,0.43204224330498053,2.0
1. Karnataka,HAVERI,2010,3031.0,1889.0,0.62,Arhar,Kharif,,,,
1. Karnataka,HAVERI,2011,2635.0,1482.0,0.56,Arhar,Kharif,,,,
1. Karnataka,HAVERI,2012,1973.0,1160.0,0.59,Arhar,Kharif,,,,
1. Karnataka,HAVERI,2013,1673.0,1162.0,0.69,Arhar,Kharif,,,,
1. Karnataka,HAVERI,2014,1410.0,964.0,0.68,Arhar,Kharif,,,,
1. Karnataka,HAVERI,2015,1739.0,831.0,0.48,Arhar,Kharif,,,,
1. Karnataka,HAVERI,2016,3332.0,2146.0,0.64,Arhar,Kharif,,,,
1. Karnataka,HAVERI,2017,1221.0,1231.0,1.01,Arhar,Kharif,,,,
1. Karnataka,HAVERI,2018,1463.0,960.0,0.66,Arhar,Kharif,,,,
1. Karnataka,HAVERI,2019,795.0,427.0,0.54,Arhar,Kharif,0.22660000000000002,0.3133,0.11060527413585063,4.0
1. Karnataka,HAVERI,2020,132.0,181.0,1.37,Arhar,Kharif,0.23106666666666667,0.2585,0.04086567426745009,3.0
1. Karnataka,KODAGU,2010,,,,Arhar,Kharif,,,,
1. Karnataka,KODAGU,2011,,,,Arhar,Kharif,,,,
1. Karnataka,KODAGU,2012,,,,Arhar,Kharif,,,,
1. Karnataka,KODAGU,2013,,,,Arhar,Kharif,,,,
