State,District,Year,Crop,Season,Yield
Karnataka,Haveri,2020 - 2021,Arhar/Tur,Kharif,1.37
Karnataka,Kodagu,2019 - 2020,Arhar/Tur,Kharif,0.67
Karnataka,Kodagu,2020 - 2021,Arhar/Tur,Kharif,1.0
Karnataka,Kolar,2010 - 2011,Arhar/Tur,Kharif,1.84
Karnataka,Kolar,2011 - 2012,Arhar/Tur,Kharif,1.53
Karnataka,Kolar,2012 - 2013,Arhar/Tur,Kharif,1.15
Karnataka,Kolar,2013 - 2014,Arhar/Tur,Kharif,0.76
Karnataka,Kolar,2014 - 2015,Arhar/Tur,Kharif,1.06
Karnataka,Kolar,2015 - 2016,Arhar/Tur,Kharif,0.69
Karnataka,Kolar,2016 - 2017,Arhar/Tur,Kharif,0.27
Karnataka,Kolar,2017 - 2018,Arhar/Tur,Kharif,1.15
Karnataka,Kolar,2018 - 2019,Arhar/Tur,Kharif,0.43
Karnataka,Kolar,2019 - 2020,Arhar/Tur,Kharif,0.54
Karnataka,Kolar,2020 - 2021,Arhar/Tur,Kharif,0.66
Karnataka,Koppal,2010 - 2011,Arhar/Tur,Kharif,0.45
Karnataka,Koppal,2011 - 2012,Arhar/Tur,Kharif,0.29
Karnataka,Koppal,2012 - 2013,Arhar/Tur,Kharif,0.43
Karnataka,Koppal,2013 - 2014,Arhar/Tur,Kharif,0.47
Karnataka,Koppal,2014 - 2015,Arhar/Tur,Kharif,0.58
Karnataka,Koppal,2015 - 2016,Arhar/Tur,Kharif,0.34
Karnataka,Koppal,2016 - 2017,Arhar/Tur,Kharif,0.49
Karnataka,Koppal,2017 - 2018,Arhar/Tur,Kharif,0.57
Karnataka,Koppal,2018 - 2019,Arhar/Tur,Kharif,0.27
Karnataka,Koppal,2019 - 2020,Arhar/Tur,Kharif,0.34
Karnataka,Koppal,2020 - 2021,Arhar/Tur,Kharif,0.51
Karnataka,Mandya,2010 - 2011,Arhar/Tur,Kharif,0.59
Karnataka,Mandya,2011 - 2012,Arhar/Tur,Kharif,0.37
Karnataka,Mandya,2012 - 2013,Arhar/Tur,Kharif,0.3
Karnataka,Mandya,2013 - 2014,Arhar/Tur,Kharif,0.29
Karnataka,Mandya,2014 - 2015,Arhar/Tur,Kharif,0.29
Karnataka,Mandya,2015 - 2016,Arhar/Tur,Kharif,0.37
Karnataka,Mandya,2016 - 2017,Arhar/Tur,Kharif,0.34
Karnataka,Mandya,2017 - 2018,Arhar/Tur,Kharif,0.65
Karnataka,Mandya,2018 - 2019,Arhar/Tur,Kharif,0.65
Karnataka,Mandya,2019 - 2020,Arhar/Tur,Kharif,0.66
Karnataka,Mandya,2020 - 2021,Arhar/Tur,Kharif,0.66
Karnataka,Mysore,2010 - 2011,Arhar/Tur,Kharif,0.8
Karnataka,Mysore,2011 - 2012,Arhar/Tur,Kharif,0.48
Karnataka,Mysore,2012 - 2013,Arhar/Tur,Kharif,0.74
Karnataka,Mysore,2013 - 2014,Arhar/Tur,Kharif,0.61
Karnataka,Mysore,2014 - 2015,Arhar/Tur,Kharif,0.6
Karnataka,Mysore,2015 - 2016,Arhar/Tur,Kharif,0.43
Karnataka,Mysore,2016 - 2017,Arhar/Tur,Kharif,0.37
Karnataka,Mysore,2017 - 2018,Arhar/Tur,Kharif,0.75
Karnataka,Mysore,2018 - 2019,Arhar/Tur,Kharif,0.92
Karnataka,Mysore,2019 - 2020,Arhar/Tur,Kharif,0.6
Karnataka,Mysore,2020 - 2021,Arhar/Tur,Kharif,0.61
Karnataka,Raichur,2010 - 2011,Arhar/Tur,Kharif,0.34
Karnataka,Raichur,2011 - 2012,Arhar/Tur,Kharif,0.28
Karnataka,Raichur,2012 - 2013,Arhar/Tur,Kharif,0.39
Karnataka,Raichur,2013 - 2014,Arhar/Tur,Kharif,0.44
Karnataka,Raichur,2014 - 2015,Arhar/Tur,Kharif,0.66
Karnataka,Raichur,2015 - 2016,Arhar/Tur,Kharif,0.42
Karnataka,Raichur,2016 - 2017,Arhar/Tur,Kharif,0.79
Karnataka,Raichur,2017 - 2018,Arhar/Tur,Kharif,0.71
Karnataka,Raichur,2018 - 2019,Arhar/Tur,Kharif,0.35
Karnataka,Raichur,2019 - 2020,Arhar/Tur,Kharif,0.54
Karnataka,Raichur,2020 - 2021,Arhar/Tur,Kharif,0.71
Karnataka,Ramanagara,2010 - 2011,Arhar/Tur,Kharif,0.43
Karnataka,Ramanagara,2011 - 2012,Arhar/Tur,Kharif,0.79
Karnataka,Ramanagara,2012 - 2013,Arhar/Tur,Kharif,0.56
Karnataka,Ramanagara,2013 - 2014,Arhar/Tur,Kharif,0.93
Karnataka,Ramanagara,2014 - 2015,Arhar/Tur,Kharif,0.63
Karnataka,Ramanagara,2015 - 2016,Arhar/Tur,Kharif,0.78
Karnataka,Ramanagara,2016 - 2017,Arhar/Tur,Kharif,0.32
Karnataka,Ramanagara,2017 - 2018,Arhar/Tur,Kharif,0.72
Karnataka,Ramanagara,2018 - 2019,Arhar/Tur,Kharif,0.55
Karnataka,Ramanagara,2019 - 2020,Arhar/Tur,Kharif,0.7
Karnataka,Ramanagara,2020 - 2021,Arhar/Tur,Kharif,0.72
Karnataka,Shimoga,2010 - 2011,Arhar/Tur,Kharif,0.59
Karnataka,Shimoga,2011 - 2012,Arhar/Tur,Kharif,0.46
Karnataka,Shimoga,2012 - 2013,Arhar/Tur,Kharif,0.71
Karnataka,Shimoga,2013 - 2014,Arhar/Tur,Kharif,0.92
Karnataka,Shimoga,2014 - 2015,Arhar/Tur,Kharif,0.65
Karnataka,Shimoga,2015 - 2016,Arhar/Tur,Kharif,0.37
Karnataka,Shimoga,2016 - 2017,Arhar/Tur,Kharif,1.0
Karnataka,Shimoga,2017 - 2018,Arhar/Tur,Kharif,0.95
Karnataka,Shimoga,2018 - 2019,Arhar/Tur,Kharif,0.61
Karnataka,Shimoga,2019 - 2020,Arhar/Tur,Kharif,0.67
Karnataka,Shimoga,2020 - 2021,Arhar/Tur,Kharif,0.76
Karnataka,Tumkur,2010 - 2011,Arhar/Tur,Kharif,0.29
Karnataka,Tumkur,2011 - 2012,Arhar/Tur,Kharif,0.34
Karnataka,Tumkur,2012 - 2013,Arhar/Tur,Kharif,0.28
Karnataka,Tumkur,2013 - 2014,Arhar/Tur,Kharif,0.39
Karnataka,Tumkur,2014 - 2015,Arhar/Tur,Kharif,0.23
Karnataka,Tumkur,2015 - 2016,Arhar/Tur,Kharif,0.34
Karnataka,Tumkur,2016 - 2017,Arhar/Tur,Kharif,0.21
Karnataka,Tumkur,2017 - 2018,Arhar/Tur,Kharif,0.26
Karnataka,Tumkur,2018 - 2019,Arhar/Tur,Kharif,0.34
Karnataka,Tumkur,2019 - 2020,Arhar/Tur,Kharif,0.31
Karnataka,Tumkur,2020 - 2021,Arhar/Tur,Kharif,0.4
Karnataka,Udupi,2019 - 2020,Arhar/Tur,Kharif,1.0
Karnataka,Udupi,2020 - 2021,Arhar/Tur,Kharif,1.0
Karnataka,kannad,2010 - 2011,Arhar/Tur,Kharif,0.59
Karnataka,kannad,2011 - 2012,Arhar/Tur,Kharif,0.47
Karnataka,kannad,2012 - 2013,Arhar/Tur,Kharif,0.71
Karnataka,kannad,2013 - 2014,Arhar/Tur,Kharif,0.86
Karnataka,kannad,2014 - 2015,Arhar/Tur,Kharif,0.6
Karnataka,kannad,2015 - 2016,Arhar/Tur,Kharif,0.38
Karnataka,kannad,2016 - 2017,Arhar/Tur,Kharif,1.0
Karnataka,kannad,2017 - 2018,Arhar/Tur,Kharif,1.0
Karnataka,kannad,2018 - 2019,Arhar/Tur,Kharif,0.5
Karnataka,kannad,2020 - 2021,Arhar/Tur,Kharif,0.75
Karnataka,Yadgir,2010 - 2011,Arhar/Tur,Kharif,0.71
Karnataka,Yadgir,2011 - 2012,Arhar/Tur,Kharif,0.39
Karnataka,Yadgir,2012 - 2013,Arhar/Tur,Kharif,0.56
Karnataka,Yadgir,2013 - 2014,Arhar/Tur,Kharif,0.81
Karnataka,Yadgir,2014 - 2015,Arhar/Tur,Kharif,0.63
Karnataka,Yadgir,2015 - 2016,Arhar/Tur,Kharif,0.3
Karnataka,Yadgir,2016 - 2017,Arhar/Tur,Kharif,0.84
Karnataka,Yadgir,2017 - 2018,Arhar/Tur,Kharif,1.02
Karnataka,Yadgir,2018 - 2019,Arhar/Tur,Kharif,0.68
Karnataka,Yadgir,2019 - 2020,Arhar/Tur,Kharif,0.7
Karnataka,Yadgir,2020 - 2021,Arhar/Tur,Kharif,0.83
Karnataka,Bagalkot,2010 - 2011,Bajra,Kharif,1.46
Karnataka,Bagalkot,2011 - 2012,Bajra,Kharif,1.28
Karnataka,Bagalkot,2012 - 2013,Bajra,Kharif,0.95
Karnataka,Bagalkot,2013 - 2014,Bajra,Kharif,0.91
Karnataka,Bagalkot,2014 - 2015,Bajra,Kharif,1.1
Karnataka,Bagalkot,2015 - 2016,Bajra,Kharif,0.55
Karnataka,Bagalkot,2016 - 2017,Bajra,Kharif,1.12
Karnataka,Bagalkot,2017 - 2018,Bajra,Kharif,1.56
Karnataka,Bagalkot,2018 - 2019,Bajra,Kharif,1.53
Karnataka,Bagalkot,2019 - 2020,Bajra,Kharif,1.66
Karnataka,Bagalkot,2020 - 2021,Bajra,Kharif,1.91
Karnataka,rural,2010 - 2011,Bajra,Kharif,1.0
Karnataka,rural,2011 - 2012,Bajra,Kharif,0.75
Karnataka,rural,2012 - 2013,Bajra,Kharif,1.0
Karnataka,rural,2015 - 2016,Bajra,Kharif,0.71
Karnataka,rural,2016 - 2017,Bajra,Kharif,1.0
Karnataka,rural,2017 - 2018,Bajra,Kharif,2.0
Karnataka,rural,2018 - 2019,Bajra,Kharif,0.91
Karnataka,rural,2019 - 2020,Bajra,Kharif,1.13
Karnataka,rural,2020 - 2021,Bajra,Kharif,1.44
Karnataka,Belgaum,2010 - 2011,Bajra,Kharif,0.61
Karnataka,Belgaum,2011 - 2012,Bajra,Kharif,0.53
Karnataka,Belgaum,2012 - 2013,Bajra,Kharif,0.35
Karnataka,Belgaum,2013 - 2014,Bajra,Kharif,0.66
Karnataka,Belgaum,2014 - 2015,Bajra,Kharif,0.66
Karnataka,Belgaum,2015 - 2016,Bajra,Kharif,0.36
Karnataka,Belgaum,2016 - 2017,Bajra,Kharif,0.6
Karnataka,Belgaum,2017 - 2018,Bajra,Kharif,1.21
Karnataka,Belgaum,2018 - 2019,Bajra,Kharif,1.1
Karnataka,Belgaum,2019 - 2020,Bajra,Kharif,1.09
Karnataka,Belgaum,2020 - 2021,Bajra,Kharif,1.34
Karnataka,Bellary,2010 - 2011,Bajra,Kharif,0.84
Karnataka,Bellary,2011 - 2012,Bajra,Kharif,0.66
Karnataka,Bellary,2012 - 2013,Bajra,Kharif,0.81
Karnataka,Bellary,2013 - 2014,Bajra,Kharif,1.01
Karnataka,Bellary,2014 - 2015,Bajra,Kharif,1.07
